KIT ID,Текущий путь KIT,Текущая категория,Родитель KIT,Скрыта в меню,Дубль названия в KIT,Дубль полного пути,Предлагаемое название,Путь Ozon,Уровень Ozon,Ozon description_category_id,Ozon type_id,Тип совпадения,Оценка совпадения,Уверенность,Предлагаемое действие,Комментарий
01a0ba6b-832b-7c12-bcc7-93f394c3b897,Офис > Деловые аксессуары,Деловые аксессуары,Офис,Нет,Нет,Нет,Аксессуары,Одежда > Аксессуары,category,41777465,,Нечёткое совпадение,82.2,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0ba6b-8452-7a28-aa74-c3f60a3af0dd,Офис > Деловые аксессуары > Обложки и бланки документов,Обложки и бланки документов,Деловые аксессуары,Нет,Нет,Нет,Аксессуары и инвентарь для тяжелой атлетики,Спорт и отдых > Аксессуары и инвентарь для тяжелой атлетики,category,17028707,,Нечёткое совпадение,76.3,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0ba6b-8a07-779a-b9ea-c732bdd2a4bd,Офис > Деловые аксессуары > Обложки и бланки документов > Бланки документов,Бланки документов,Обложки и бланки документов,Нет,Нет,Нет,Бланк документа,Канцелярские товары > Бумажная продукция > Бланк документа,type,,257342239,Нечёткое совпадение,77.0,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0ba6c-2e7c-7088-83fd-2498a6580ca7,Бумага > Школьная бумажная продукция > Папки для курсовых и дипломов,Папки для курсовых и дипломов,Школьная бумажная продукция,Нет,Нет,Нет,Вкладыш для одежды,Галантерея и аксессуары > Аксессуары для одежды и обуви > Вкладыш для одежды,type,,970807508,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0ba6e-0f6d-7185-ac1b-53a89bb5c444,Дом и сад > Ванная и туалет > Средства личной гигиены > Платки носовые,Платки носовые,Средства личной гигиены,Нет,Нет,Нет,Платок,Одежда > Аксессуары > Платок,type,,93181,Нечёткое совпадение,72.0,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0baa0-55be-787f-a5a6-4d157600ad76,Мебель для персонала > Оникс > Рабочие станции > Эргономичные рабочие станции F2F на П-образных опорах,Эргономичные рабочие станции F2F на П-образных опорах,Рабочие станции,Нет,Да,Нет,Подушка на руль самоката,Спорт и отдых > Скейтборды и самокаты > Подушка на руль самоката,type,,971446324,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0baa0-a6cc-77f7-b6e3-6de0675c2f07,Мебель для персонала > Оникс > Приставные элементы > Столы-приставки F2F на П-образных опорах,Столы-приставки F2F на П-образных опорах,Приставные элементы,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,81.6,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0baa1-64fd-7421-a6b2-550665c32fd5,Мебель для персонала > Оникс > Столы переговорные > Столы переговорные на П-образных опорах,Столы переговорные на П-образных опорах,Столы переговорные,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,82.6,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0baa5-39cf-786e-b825-888057feb8dd,Мебель для персонала > Оникс > Приставные элементы > Линейные столы-приставки на ЛДСП опорах,Линейные столы-приставки на ЛДСП опорах,Приставные элементы,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,81.6,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0baa5-cbb0-7221-82c0-cc27eb5a0612,Мебель для персонала > Оникс > Тумбы,Тумбы,Оникс,Нет,Да,Нет,Комоды и тумбы,Мебель > Комоды и тумбы,category,80711064,,Нечёткое совпадение,84.0,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
